"Total EMTRs by Industry, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Rail Transportation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Water Transportation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Truck Transportation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Transit and Ground Passenger Transportation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Pipeline Transportation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Other Transportation and Support Activities,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Warehousing and Storage,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Publishing Industries (Except Internet),19.11,5.09,15.06,12.28,-2.57,7.98,17.16,2.89,13.04
Motion Picture and Sound Recording Industries,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Broadcasting (Except Internet) and Telecommunications,18.17,3.98,14.08,10.89,-4.25,6.51,16.1,1.63,11.92
"Data Processing, Hosting, and Other Information Services",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Credit Intermediation and Related Activities,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Insurance Carriers and Related Activities,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Funds, Trusts, and Other Financial Vehicles",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Real Estate,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Rental and Leasing (Including Nonfinancial Intangibles),19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Professional, Scientific, and Technical Services",18.83,4.7,14.75,11.92,-3.06,7.59,16.86,2.48,12.71
Management of Companies and Enterprises,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Administrative and Support Services,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Waste Management and Remediation Services,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Educational Services,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Ambulatory Health Care Services,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Hospitals,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Nursing and Residential Care Facilities,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Social Assistance,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Performing Arts, Spectator Sports, Museums, and Related Activities",19.1,5.08,15.05,12.25,-2.61,7.95,17.14,2.88,13.02
"Amusement, Gambling, and Recreation Services",19.12,5.11,15.08,12.29,-2.55,8.0,17.17,2.91,13.05
Accommodation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Food Services and Drinking Places,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Other Services (Except Public Administration),19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,19.44,5.8,15.5,12.79,-1.53,8.64,17.54,3.7,13.53
