"Total EMTRs by Industry, Legal Form, and Financing Source, 2023 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Miscellaneous Manufacturing,22.4,10.95,19.04,15.51,6.67,12.85,20.44,9.69,17.26
Wholesale Trade,22.37,10.92,19.01,15.48,6.62,12.81,20.41,9.66,17.23
Retail Trade,22.31,10.85,18.95,15.39,6.53,12.72,20.34,9.59,17.16
Air Transportation,22.43,10.98,19.07,15.56,6.72,12.9,20.47,9.74,17.3
Rail Transportation,22.43,10.99,19.07,15.56,6.72,12.9,20.47,9.74,17.3
Water Transportation,22.67,11.28,19.33,15.93,7.16,13.29,20.75,10.07,17.59
Truck Transportation,22.37,10.91,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Transit and Ground Passenger Transportation,22.36,10.91,19.0,15.47,6.61,12.8,20.4,9.65,17.22
Pipeline Transportation,22.67,11.28,19.33,15.93,7.16,13.29,20.75,10.07,17.59
Other Transportation and Support Activities,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Warehousing and Storage,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Publishing Industries (Except Internet),22.41,10.96,19.06,15.55,6.71,12.89,20.46,9.72,17.29
Motion Picture and Sound Recording Industries,22.38,10.93,19.02,15.49,6.64,12.82,20.41,9.67,17.24
Broadcasting (Except Internet) and Telecommunications,21.64,10.07,18.24,14.4,5.41,11.69,19.58,8.71,16.37
"Data Processing, Hosting, and Other Information Services",22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Credit Intermediation and Related Activities,22.37,10.91,19.01,15.47,6.62,12.81,20.4,9.66,17.23
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Insurance Carriers and Related Activities,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
"Funds, Trusts, and Other Financial Vehicles",22.36,10.91,19.0,15.47,6.61,12.8,20.4,9.65,17.22
Real Estate,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Rental and Leasing (Including Nonfinancial Intangibles),22.38,10.93,19.03,15.49,6.64,12.83,20.42,9.67,17.25
"Professional, Scientific, and Technical Services",22.28,10.76,18.9,15.41,6.54,12.74,20.32,9.52,17.13
Management of Companies and Enterprises,22.37,10.91,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Administrative and Support Services,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Waste Management and Remediation Services,22.32,10.86,18.96,15.4,6.54,12.73,20.35,9.59,17.17
Educational Services,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Ambulatory Health Care Services,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Hospitals,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Nursing and Residential Care Facilities,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Social Assistance,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
"Performing Arts, Spectator Sports, Museums, and Related Activities",22.28,10.81,18.92,15.34,6.46,12.67,20.3,9.54,17.12
"Amusement, Gambling, and Recreation Services",22.37,10.91,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Accommodation,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Food Services and Drinking Places,22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Other Services (Except Public Administration),22.37,10.92,19.01,15.47,6.62,12.81,20.4,9.66,17.23
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,22.39,11.03,19.06,15.62,6.92,13.0,20.46,9.83,17.32
