"Values by Industry and Asset Aggregate, 2025 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Publishing Industries (Except Internet),13.37,20.22,20.0,-15.91,22.94,27.35,17.79,25.02,19.2
Motion Picture and Sound Recording Industries,12.5,20.22,20.0,-11.18,22.94,27.35,17.82,25.02,19.22
Broadcasting (Except Internet) and Telecommunications,13.73,18.5,20.0,-11.18,22.94,27.35,17.26,25.02,18.79
"Data Processing, Hosting, and Other Information Services",12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Depository Credit Intermediation,12.23,20.22,20.0,-11.18,22.94,27.35,17.77,25.02,19.18
Other Intermediation,12.23,20.22,20.0,-11.18,22.94,27.35,17.77,25.02,19.18
Nondepository Credit Intermediation,12.36,20.22,20.0,-11.18,22.94,27.35,17.8,25.02,19.2
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Insurance Carriers,12.33,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Insurance Agencies and Brokers and Related Services,12.22,20.22,20.0,-11.18,22.94,27.35,17.77,25.02,19.18
"Funds, Trusts, and Other Financial Vehicles",12.23,20.22,20.0,-11.18,22.94,27.35,17.77,25.02,19.18
Real Estate,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Rental and Leasing (Including Nonfinancial Intangibles),12.43,20.22,20.0,-11.18,22.94,27.35,17.81,25.02,19.21
Legal Services,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Computer Systems Design and Related Services,12.5,20.22,20.0,-11.18,22.94,27.35,17.82,25.02,19.22
"Other Professional, Scientific, and Technical Services",12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Management of Companies and Enterprises,12.32,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Administrative and Support Services,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Waste Management and Remediation Services,12.34,19.76,20.0,-11.18,22.94,27.35,17.58,25.02,19.03
Educational Services,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Ambulatory Health Care Services,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Hospitals,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Nursing and Residential Care Facilities,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Social Assistance,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
"Performing Arts, Spectator Sports, Museums, and Related Activities",12.34,20.22,20.0,-11.18,17.56,27.35,17.57,25.02,19.03
"Amusement, Gambling, and Recreation Services",12.72,20.16,20.0,-11.18,22.94,27.35,17.84,25.02,19.23
Accommodation,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Food Services and Drinking Places,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Other Services (Except Public Administration),12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,11.76,19.66,20.0,-17.01,22.48,27.35,17.2,25.02,18.83
