"Values by Industry and Asset Aggregate, 2022 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Rail Transportation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Water Transportation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Truck Transportation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Transit and Ground Passenger Transportation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Pipeline Transportation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Other Transportation and Support Activities,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Warehousing and Storage,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Publishing Industries (Except Internet),4.56,17.91,21.97,-6.81,8.24,28.19,15.27,25.87,17.21
Motion Picture and Sound Recording Industries,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Broadcasting (Except Internet) and Telecommunications,4.56,15.48,21.97,-6.45,8.24,28.19,14.15,25.87,16.34
"Data Processing, Hosting, and Other Information Services",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Credit Intermediation and Related Activities,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Insurance Carriers and Related Activities,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Funds, Trusts, and Other Financial Vehicles",4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Real Estate,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Rental and Leasing (Including Nonfinancial Intangibles),4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Professional, Scientific, and Technical Services",4.56,17.91,21.97,-9.05,8.24,28.19,15.18,25.87,17.15
Management of Companies and Enterprises,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Administrative and Support Services,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Waste Management and Remediation Services,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Educational Services,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Ambulatory Health Care Services,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Hospitals,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Nursing and Residential Care Facilities,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Social Assistance,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
"Performing Arts, Spectator Sports, Museums, and Related Activities",4.56,17.91,21.97,-6.45,5.98,28.19,15.21,25.87,17.17
"Amusement, Gambling, and Recreation Services",4.56,17.83,21.97,-6.45,8.24,28.19,15.24,25.87,17.2
Accommodation,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Food Services and Drinking Places,4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Other Services (Except Public Administration),4.56,17.91,21.97,-6.45,8.24,28.19,15.28,25.87,17.23
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,7.0,18.15,21.97,-6.27,8.34,28.19,15.77,25.87,17.55
