"Values by Industry and Asset Aggregate, 2023 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
"Professional, Scientific, and Technical Services",9.07,19.51,22.18,-7.21,14.59,28.79,17.13,26.56,18.8
Management of Companies and Enterprises,9.02,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Administrative and Support Services,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Waste Management and Remediation Services,9.03,19.38,22.18,-4.72,14.59,28.79,17.17,26.56,18.82
Educational Services,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Ambulatory Health Care Services,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Hospitals,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Nursing and Residential Care Facilities,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Social Assistance,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
"Performing Arts, Spectator Sports, Museums, and Related Activities",9.03,19.51,22.18,-4.72,11.3,28.79,17.12,26.56,18.78
"Amusement, Gambling, and Recreation Services",9.21,19.44,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Accommodation,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Food Services and Drinking Places,9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Other Services (Except Public Administration),9.03,19.51,22.18,-4.72,14.59,28.79,17.23,26.56,18.87
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,10.23,19.48,22.18,-4.72,14.6,28.74,17.32,26.51,18.91
