"Total EMTRs by Industry, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Primary Metal Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Fabricated Metal Product Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Machinery Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Computer and Electronic Product Manufacturing,19.79,9.13,16.64,14.61,3.62,11.35,18.29,7.53,15.11
"Electrical Equipment, Appliances, and Components Manufacturing",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Motor Vehicle and Parts Manufacturing,19.73,9.04,16.56,14.58,3.57,11.31,18.23,7.45,15.04
Other Transportation Equipment Manufacturing,19.96,9.38,16.83,14.69,3.74,11.45,18.44,7.74,15.27
Furniture and Related Products Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Miscellaneous Manufacturing,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Wholesale Trade,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Retail Trade,19.87,9.28,16.74,14.55,3.58,11.3,18.33,7.62,15.16
Air Transportation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Rail Transportation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Water Transportation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Truck Transportation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Transit and Ground Passenger Transportation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Pipeline Transportation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Other Transportation and Support Activities,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Warehousing and Storage,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Publishing Industries (Except Internet),19.96,9.37,16.82,14.69,3.74,11.44,18.43,7.74,15.27
Motion Picture and Sound Recording Industries,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Broadcasting (Except Internet) and Telecommunications,19.02,8.3,15.85,13.29,2.12,9.98,17.37,6.52,14.15
"Data Processing, Hosting, and Other Information Services",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Credit Intermediation and Related Activities,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Insurance Carriers and Related Activities,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Funds, Trusts, and Other Financial Vehicles",19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Real Estate,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Rental and Leasing (Including Nonfinancial Intangibles),19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Professional, Scientific, and Technical Services",19.87,9.24,16.72,14.65,3.67,11.39,18.35,7.62,15.18
Management of Companies and Enterprises,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Administrative and Support Services,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Waste Management and Remediation Services,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Educational Services,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Ambulatory Health Care Services,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Hospitals,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Nursing and Residential Care Facilities,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Social Assistance,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
"Performing Arts, Spectator Sports, Museums, and Related Activities",19.91,9.32,16.78,14.61,3.65,11.36,18.38,7.68,15.21
"Amusement, Gambling, and Recreation Services",19.94,9.35,16.81,14.65,3.7,11.4,18.41,7.71,15.24
Accommodation,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Food Services and Drinking Places,19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Other Services (Except Public Administration),19.97,9.39,16.84,14.7,3.75,11.45,18.45,7.76,15.28
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,20.39,9.87,17.27,15.31,4.49,12.1,18.92,8.31,15.77
