"Total EMTRs by Industry, Legal Form, and Financing Source, 2024 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Other Manufacturing,22.93,9.58,19.1,16.78,5.84,13.56,21.22,8.52,17.55
Wholesale Durable Goods,22.84,9.46,19.0,16.64,5.68,13.41,21.12,8.38,17.43
Wholesale Nondurable Goods,22.84,9.46,19.0,16.64,5.68,13.41,21.12,8.38,17.43
Motor Vehicle and Parts Dealers,22.84,9.46,19.0,16.64,5.68,13.41,21.11,8.38,17.43
Food and Beverage Stores,22.84,9.46,19.0,16.64,5.68,13.41,21.12,8.38,17.43
General Merchandise Stores,22.84,9.46,19.0,16.64,5.68,13.41,21.11,8.38,17.43
Other Retail,22.77,9.39,18.93,16.56,5.59,13.32,21.05,8.31,17.36
Air Transportation,22.94,9.59,19.1,16.78,5.85,13.56,21.23,8.52,17.55
Rail Transportation,22.94,9.59,19.1,16.79,5.85,13.56,21.23,8.52,17.55
Water Transportation,23.36,10.11,19.56,17.39,6.58,14.21,21.7,9.1,18.05
Truck Transportation,22.83,9.46,18.99,16.63,5.67,13.4,21.11,8.38,17.43
Transit and Ground Passenger Transportation,22.82,9.45,18.98,16.63,5.66,13.39,21.1,8.37,17.42
Pipeline Transportation,23.36,10.11,19.56,17.39,6.58,14.21,21.7,9.1,18.05
Other Transportation and Support Activities,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Warehousing and Storage,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Publishing Industries (Except Internet),22.86,9.43,19.0,16.73,5.77,13.5,21.16,8.39,17.46
Motion Picture and Sound Recording Industries,22.85,9.48,19.01,16.66,5.7,13.43,21.13,8.4,17.45
Broadcasting (Except Internet) and Telecommunications,22.2,8.7,18.32,15.75,4.65,12.48,20.41,7.55,16.69
"Data Processing, Hosting, and Other Information Services",22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Depository Credit Intermediation,22.82,9.45,18.98,16.62,5.66,13.39,21.1,8.37,17.42
Other Intermediation,22.82,9.45,18.98,16.62,5.66,13.39,21.1,8.37,17.42
Nondepository Credit Intermediation,22.84,9.46,19.0,16.64,5.68,13.41,21.12,8.38,17.43
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Insurance Carriers,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Insurance Agencies and Brokers and Related Services,22.82,9.45,18.98,16.62,5.65,13.39,21.1,8.37,17.41
"Funds, Trusts, and Other Financial Vehicles",22.82,9.45,18.98,16.62,5.66,13.39,21.1,8.37,17.42
Real Estate,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Rental and Leasing (Including Nonfinancial Intangibles),22.84,9.47,19.0,16.65,5.69,13.42,21.12,8.39,17.44
Legal Services,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Computer Systems Design and Related Services,22.85,9.48,19.01,16.66,5.7,13.43,21.13,8.4,17.45
"Other Professional, Scientific, and Technical Services",22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Management of Companies and Enterprises,22.83,9.46,18.99,16.64,5.67,13.4,21.11,8.38,17.43
Administrative and Support Services,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Waste Management and Remediation Services,22.66,9.26,18.81,16.4,5.4,13.15,20.92,8.16,17.23
Educational Services,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Ambulatory Health Care Services,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Hospitals,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Nursing and Residential Care Facilities,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Social Assistance,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
"Performing Arts, Spectator Sports, Museums, and Related Activities",22.72,9.32,18.87,16.48,5.48,13.24,20.98,8.23,17.29
"Amusement, Gambling, and Recreation Services",22.85,9.48,19.01,16.66,5.7,13.43,21.13,8.4,17.45
Accommodation,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Food Services and Drinking Places,22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Other Services (Except Public Administration),22.83,9.46,18.99,16.64,5.67,13.41,21.11,8.38,17.43
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,22.24,8.67,18.34,15.96,4.83,12.68,20.49,7.58,16.76
