"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Petroleum pipelines,11.16,-0.51,7.67,1.16,-11.88,-2.73,7.92,-4.18,4.31
Communication structures,11.16,-0.51,7.68,1.17,-11.87,-2.72,7.93,-4.18,4.32
Depreciable petroleum and natural gas structures,10.99,-0.68,7.51,0.92,-12.12,-2.97,7.74,-4.37,4.12
Depreciable mining structures,10.84,-0.86,7.35,0.67,-12.44,-3.24,7.56,-4.6,3.93
Religious buildings,27.28,17.66,24.41,24.86,15.3,22.0,26.45,16.86,23.59
Educational and vocational buildings,27.67,18.14,24.82,25.43,16.02,22.62,26.91,17.42,24.07
Lodging buildings,28.71,19.43,25.94,26.97,17.94,24.26,28.12,18.92,25.37
Amusement and recreation buildings,29.03,19.83,26.28,27.44,18.52,24.76,28.49,19.38,25.76
Track replacement,10.76,-0.96,7.26,0.53,-12.62,-3.39,7.45,-4.72,3.82
Other railroad structures,11.25,-0.41,7.77,1.31,-11.71,-2.58,8.04,-4.06,4.43
Other transportation structures,26.87,17.28,24.01,24.39,14.89,21.55,26.03,16.47,23.17
Farm buildings,11.33,-0.31,7.86,1.44,-11.56,-2.44,8.13,-3.95,4.53
Water supply and sewer and waste disposal facilities,11.46,-0.17,7.99,1.64,-11.32,-2.23,8.28,-3.77,4.68
"Public safety, highways, conservation, and development",11.35,-0.29,7.88,1.47,-11.52,-2.41,8.15,-3.92,4.55
Oil and gas exploration (geological and geophysical)--integrated,21.15,10.83,18.07,16.34,6.04,13.25,19.55,9.22,16.46
Oil and gas exploration (geological and geophysical)--independent,14.17,2.89,10.8,5.87,-6.29,2.23,11.46,-0.11,8.01
Oil and gas development (intangible drilling costs)--integrated,13.07,1.67,9.67,4.19,-8.26,0.47,10.18,-1.56,6.67
Oil and gas development (intangible drilling costs)--independent,10.42,-1.33,6.91,0.0,-13.22,-3.94,7.06,-5.16,3.41
Other mineral exploration--C corps,20.98,10.49,17.85,15.93,5.28,12.74,19.3,8.75,16.15
Other mineral exploration--pass-throughs,20.98,10.49,17.85,15.93,5.28,12.74,19.3,8.75,16.15
Other mineral development--C corps,12.39,0.85,8.94,3.06,-9.66,-0.73,9.36,-2.56,5.8
Other mineral development--pass-throughs,10.42,-1.33,6.91,0.0,-13.22,-3.94,7.06,-5.16,3.41
Prepackaged software,12.9,1.59,9.52,4.07,-8.21,0.4,10.03,-1.6,6.55
Custom software,11.72,0.19,8.28,2.14,-10.6,-1.67,8.62,-3.31,5.06
Credit-eligible own account software,-45.18,-85.62,-56.24,-41.63,-72.78,-50.44,-43.93,-80.95,-54.18
Other own-account software,34.69,26.85,32.34,35.49,29.12,33.55,34.97,27.66,32.76
Credit-eligible research and development,-14.11,-35.48,-20.28,-19.56,-39.76,-25.45,-15.95,-36.93,-22.02
Other research and development,25.84,16.47,23.03,23.35,14.71,20.74,24.99,15.87,22.25
Theatrical movies,11.7,0.15,8.25,2.07,-10.73,-1.75,8.58,-3.38,5.01
Long-lived television programs,11.81,0.25,8.36,2.22,-10.54,-1.59,8.7,-3.25,5.13
Books,27.5,18.21,24.72,25.48,16.96,22.91,26.81,17.78,24.11
Music,28.85,19.54,26.07,27.11,18.96,24.65,28.26,19.34,25.58
Other entertainment originals,27.34,18.05,24.56,25.29,16.73,22.7,26.64,17.6,23.93
Reserved for non-BEA intangibles,29.23,19.95,26.46,27.59,18.02,24.74,28.67,19.29,25.87
Reserved for non-BEA intangibles,29.23,19.95,26.46,27.59,18.02,24.74,28.67,19.29,25.87
Residential equipment,11.22,-0.41,7.75,1.3,-11.64,-2.56,8.01,-4.04,4.41
Residential buildings,27.03,17.44,24.17,24.58,15.2,21.77,26.2,16.68,23.35
Inventories,32.4,24.0,29.88,27.47,18.49,24.78,30.77,22.17,28.19
Land,29.23,19.94,26.46,27.59,18.02,24.73,28.67,19.29,25.87
Reserved for non-BEA natural resources,29.23,19.95,26.46,27.59,18.02,24.74,28.67,19.29,25.87
Reserved for non-BEA natural resources,29.23,19.95,26.46,27.59,18.02,24.74,28.67,19.29,25.87
Reserved for non-BEA natural resources,29.23,19.95,26.46,27.59,18.02,24.74,28.67,19.29,25.87
Nonresidential equipment,12.49,1.09,8.93,3.37,-9.13,-0.53,10.63,-1.0,7.0
Nonresidential structures,22.17,12.01,19.13,17.94,7.58,14.83,21.21,11.0,18.15
Residential property,26.87,17.26,23.88,24.36,14.95,21.42,24.93,15.46,21.97
R&D and own-account software,-1.66,-18.66,-5.98,-6.08,-22.04,-10.18,-1.96,-18.89,-6.27
Other intellectual property products,13.06,1.69,8.96,4.22,-8.14,-0.24,12.46,1.03,8.34
"All equipment, structures, IPP, and inventories",20.39,9.87,17.27,15.31,4.49,12.1,18.92,8.31,15.77
"All equipment, structures, IPP, inventories, and land",22.1,11.82,19.03,17.77,7.18,14.6,20.65,10.26,17.55
"All equipment, structures, and inventories",22.07,11.95,19.07,17.08,6.61,13.97,20.49,10.26,17.45
"All equipment, structures, inventories, and land",23.55,13.6,20.57,19.32,9.02,16.23,22.02,11.94,19.0
