"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Warehouses,28.41,16.42,24.91,25.42,13.6,21.95,27.4,15.46,23.91
Mobile structures,11.22,-3.72,6.86,0.66,-15.96,-4.19,7.82,-7.66,3.3
Other commercial buildings,28.89,17.1,25.44,26.16,14.63,22.77,27.97,16.26,24.54
Manufacturing buildings,30.24,18.8,26.89,28.06,17.05,24.81,29.5,18.2,26.19
Electric power structures,11.51,-3.38,7.17,1.11,-15.43,-3.72,8.16,-7.26,3.66
Wind and solar power structures,-9.33,-29.67,-15.2,-23.74,-46.95,-30.44,-13.93,-35.19,-20.07
Gas power structures,11.57,-3.3,7.23,1.2,-15.3,-3.61,8.23,-7.17,3.74
Petroleum pipelines,11.44,-3.47,7.09,0.99,-15.57,-3.85,8.07,-7.37,3.56
Communication structures,11.44,-3.47,7.09,0.99,-15.56,-3.84,8.07,-7.37,3.57
Depreciable petroleum and natural gas structures,11.31,-3.61,6.95,0.8,-15.78,-4.04,7.92,-7.53,3.41
Depreciable mining structures,11.17,-3.79,6.8,0.57,-16.09,-4.29,7.75,-7.75,3.23
Religious buildings,27.45,15.16,23.86,24.02,11.75,20.42,26.29,14.01,22.7
Educational and vocational buildings,27.86,15.71,24.32,24.63,12.56,21.09,26.77,14.64,23.23
Lodging buildings,28.99,17.18,25.54,26.26,14.7,22.86,28.06,16.33,24.63
Amusement and recreation buildings,29.33,17.62,25.91,26.76,15.36,23.4,28.46,16.85,25.06
Track replacement,11.09,-3.89,6.72,0.44,-16.26,-4.43,7.66,-7.88,3.13
Other railroad structures,11.52,-3.37,7.17,1.11,-15.42,-3.72,8.16,-7.26,3.66
Other transportation structures,27.11,14.89,23.54,23.66,11.49,20.09,25.95,13.74,22.38
Farm buildings,11.59,-3.29,7.25,1.22,-15.28,-3.59,8.25,-7.15,3.75
Water supply and sewer and waste disposal facilities,11.7,-3.15,7.37,1.41,-15.05,-3.4,8.38,-6.99,3.9
"Public safety, highways, conservation, and development",11.61,-3.26,7.27,1.25,-15.24,-3.56,8.27,-7.13,3.78
Oil and gas exploration (geological and geophysical)--integrated,21.47,8.34,17.63,15.89,2.72,12.02,19.62,6.46,15.77
Oil and gas exploration (geological and geophysical)--independent,14.5,0.1,10.3,5.65,-9.85,1.11,11.63,-3.14,7.31
Oil and gas development (intangible drilling costs)--integrated,13.43,-1.14,9.18,4.04,-11.81,-0.59,10.39,-4.6,6.01
Oil and gas development (intangible drilling costs)--independent,10.8,-4.23,6.41,0.0,-16.81,-4.9,7.33,-8.28,2.77
Other mineral exploration--C corps,21.18,7.8,17.28,15.3,1.67,11.31,19.24,5.76,15.3
Other mineral exploration--pass-throughs,21.18,7.8,17.28,15.3,1.67,11.31,19.24,5.76,15.3
Other mineral development--C corps,12.72,-2.03,8.41,2.91,-13.29,-1.82,9.55,-5.68,5.1
Other mineral development--pass-throughs,10.8,-4.23,6.41,0.0,-16.81,-4.9,7.33,-8.28,2.77
Prepackaged software,13.06,-1.38,8.85,3.66,-11.96,-0.92,10.02,-4.81,5.68
Custom software,11.98,-2.75,7.68,1.9,-14.29,-2.83,8.73,-6.48,4.28
Credit-eligible own account software,-326.25,-1053.14,-436.04,-1746.69,1407.37,-8446.74,-481.42,-3223.41,-694.39
Other own-account software,10.8,-4.23,6.41,0.0,-16.81,-4.9,7.33,-8.28,2.77
Credit-eligible research and development,-58.93,-107.74,-72.06,-108.25,-186.04,-128.43,-73.16,-129.54,-88.18
Other research and development,10.8,-4.23,6.41,0.0,-16.81,-4.9,7.33,-8.28,2.77
Theatrical movies,11.94,-2.81,7.64,1.83,-14.43,-2.92,8.68,-6.57,4.23
Long-lived television programs,12.02,-2.74,7.71,1.93,-14.3,-2.82,8.76,-6.47,4.31
Books,27.92,16.15,24.47,25.01,14.1,21.78,26.93,15.45,23.56
Music,29.06,17.15,25.59,26.28,15.64,23.13,28.12,16.64,24.75
Other entertainment originals,27.78,16.02,24.34,24.85,13.92,21.62,26.79,15.3,23.41
Reserved for non-BEA intangibles,29.41,17.51,25.94,26.7,14.38,23.1,28.49,16.45,24.98
Reserved for non-BEA intangibles,29.41,17.51,25.94,26.7,14.38,23.1,28.49,16.45,24.98
Residential equipment,11.51,-3.34,7.18,1.15,-15.3,-3.66,8.17,-7.2,3.68
Residential buildings,27.26,15.03,23.69,23.84,11.81,20.31,26.1,13.94,22.55
Inventories,32.97,22.35,29.85,27.11,15.72,23.76,31.05,20.17,27.85
Land,29.41,17.51,25.94,26.7,14.37,23.1,28.49,16.45,24.98
Reserved for non-BEA natural resources,29.41,17.51,25.94,26.7,14.38,23.1,28.49,16.45,24.98
Reserved for non-BEA natural resources,29.41,17.51,25.94,26.7,14.38,23.1,28.49,16.45,24.98
Reserved for non-BEA natural resources,29.41,17.51,25.94,26.7,14.38,23.1,28.49,16.45,24.98
Nonresidential equipment,12.67,-1.8,8.25,3.01,-12.76,-1.82,10.71,-4.02,6.21
Nonresidential structures,22.36,9.62,18.62,17.25,4.29,13.43,21.21,8.41,17.45
Residential property,27.2,14.76,23.42,23.75,11.46,19.99,24.54,12.21,20.77
R&D and own-account software,-34.84,-69.89,-43.26,-66.93,-115.86,-78.46,-36.69,-72.48,-45.28
Other intellectual property products,13.44,-1.29,8.25,4.11,-11.92,-1.55,12.82,-2.0,7.59
"All equipment, structures, IPP, and inventories",19.44,5.8,15.5,12.79,-1.53,8.64,17.54,3.7,13.53
"All equipment, structures, IPP, inventories, and land",21.42,8.08,17.53,15.64,1.67,11.56,19.51,5.95,15.55
"All equipment, structures, and inventories",22.34,9.52,18.62,16.51,3.25,12.64,20.51,7.54,16.73
"All equipment, structures, inventories, and land",23.82,11.14,20.11,18.7,5.56,14.84,21.98,9.13,18.22
