"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2023 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Hospitals and special care facilities,28.7,18.51,25.68,24.67,16.97,22.33,27.35,17.98,24.55
Warehouses,29.14,19.06,26.15,25.32,17.76,23.02,27.86,18.61,25.09
Mobile structures,13.64,1.12,9.94,2.4,-7.98,-0.74,10.05,-1.86,6.5
Other commercial buildings,29.61,19.66,26.66,26.05,18.66,23.8,28.41,19.32,25.69
Manufacturing buildings,30.84,21.15,27.96,27.81,20.73,25.65,29.82,21.0,27.18
Electric power structures,14.86,2.66,11.25,4.44,-5.73,1.36,11.51,-0.09,8.05
Wind and solar power structures,-4.43,-20.68,-9.21,-19.42,-33.37,-23.62,-9.18,-24.8,-13.81
Gas power structures,15.09,2.92,11.49,4.8,-5.3,1.74,11.78,0.22,8.33
Petroleum pipelines,14.47,2.19,10.83,3.81,-6.43,0.71,11.05,-0.64,7.56
Communication structures,14.53,2.26,10.9,3.91,-6.31,0.81,11.12,-0.55,7.64
Depreciable petroleum and natural gas structures,14.0,1.43,10.28,2.86,-7.43,-0.26,10.43,-1.47,6.88
Depreciable mining structures,13.39,0.9,9.69,2.08,-8.37,-1.09,9.77,-2.13,6.22
Religious buildings,28.25,17.96,25.2,24.0,16.17,21.62,26.83,17.35,24.0
Educational and vocational buildings,28.63,18.44,25.61,24.58,16.86,22.23,27.28,17.9,24.47
Lodging buildings,29.67,19.72,26.72,26.11,18.71,23.86,28.48,19.37,25.75
Amusement and recreation buildings,29.99,20.11,27.06,26.58,19.27,24.35,28.85,19.82,26.14
Track replacement,13.05,0.6,9.36,1.63,-8.91,-1.56,9.4,-2.5,5.85
Other railroad structures,14.87,2.68,11.26,4.47,-5.7,1.38,11.53,-0.07,8.07
Other transportation structures,27.86,17.59,24.81,23.56,15.77,21.19,26.42,16.97,23.6
Farm buildings,15.18,3.02,11.58,4.93,-5.17,1.87,11.88,0.33,8.43
Water supply and sewer and waste disposal facilities,15.63,3.55,12.05,5.65,-4.35,2.61,12.41,0.95,8.99
"Public safety, highways, conservation, and development",14.76,2.54,11.14,4.28,-5.91,1.19,11.4,-0.24,7.92
Oil and gas exploration (geological and geophysical)--integrated,22.65,11.43,19.33,15.84,7.44,13.28,20.42,10.09,17.33
Oil and gas exploration (geological and geophysical)--independent,15.91,3.64,12.28,5.65,-4.23,2.65,12.61,1.04,9.16
Oil and gas development (intangible drilling costs)--integrated,14.86,2.45,11.19,4.04,-6.08,0.97,11.39,-0.35,7.89
Oil and gas development (intangible drilling costs)--independent,12.3,-0.48,8.52,0.0,-10.72,-3.25,8.39,-3.81,4.75
Other mineral exploration--C corps,22.35,11.08,19.02,15.4,6.73,12.77,20.07,9.62,16.95
Other mineral exploration--pass-throughs,22.35,11.08,19.02,15.4,6.73,12.77,20.07,9.62,16.95
Other mineral development--C corps,14.03,1.64,10.36,2.94,-7.39,-0.19,10.48,-1.31,6.96
Other mineral development--pass-throughs,12.14,-0.48,8.4,0.0,-10.72,-3.25,8.27,-3.81,4.67
Prepackaged software,24.26,9.96,20.14,13.94,5.75,11.44,20.97,8.54,17.32
Custom software,18.49,5.17,14.59,7.68,-1.65,4.84,15.04,2.91,11.45
Credit-eligible own account software,-40.4,-90.3,-53.48,-49.18,-76.5,-57.08,-43.33,-85.27,-54.71
Other own-account software,36.7,27.3,33.93,34.81,29.6,33.2,36.06,28.12,33.68
Credit-eligible research and development,-11.52,-36.07,-18.46,-22.41,-39.3,-27.43,-15.07,-37.17,-21.43
Other research and development,27.65,17.02,24.51,22.77,15.72,20.61,26.03,16.58,23.2
Theatrical movies,17.06,4.98,13.49,7.43,-2.08,4.54,13.95,2.64,10.58
Long-lived television programs,17.83,5.38,14.16,7.96,-1.44,5.11,14.66,3.12,11.22
Books,29.01,18.76,25.98,24.88,17.93,22.76,27.63,18.47,24.89
Music,30.93,20.14,27.76,26.54,19.93,24.52,29.47,20.07,26.67
Other entertainment originals,28.82,18.59,25.79,24.68,17.7,22.54,27.44,18.28,24.7
Reserved for non-BEA intangibles,30.38,20.55,27.47,27.03,19.21,24.66,29.26,20.09,26.52
Reserved for non-BEA intangibles,30.38,20.55,27.47,27.03,19.21,24.66,29.26,20.09,26.52
Residential equipment,15.75,3.0,11.99,4.77,-5.13,1.76,12.24,0.32,8.69
Residential buildings,28.24,17.97,25.2,23.95,16.29,21.61,26.8,17.4,23.99
Inventories,33.23,24.51,30.63,27.14,19.8,24.91,31.24,22.94,28.74
Land,30.38,20.55,27.46,27.03,19.2,24.66,29.25,20.09,26.51
Reserved for non-BEA natural resources,30.38,20.55,27.47,27.03,19.21,24.66,29.26,20.09,26.52
Reserved for non-BEA natural resources,30.38,20.55,27.47,27.03,19.21,24.66,29.26,20.09,26.52
Reserved for non-BEA natural resources,30.38,20.55,27.47,27.03,19.21,24.66,29.26,20.09,26.52
Nonresidential equipment,16.04,3.46,12.16,5.76,-3.95,2.68,13.97,1.92,10.23
Nonresidential structures,23.86,13.07,20.65,17.97,9.65,15.43,22.55,12.28,19.48
Residential property,28.16,17.79,24.96,23.82,16.05,21.36,24.82,16.44,22.18
R&D and own-account software,0.61,-18.75,-4.23,-8.18,-21.3,-11.62,0.03,-18.93,-4.72
Other intellectual property products,19.75,6.83,15.17,9.96,0.85,6.62,19.1,6.41,14.6
"All equipment, structures, IPP, and inventories",22.39,11.03,19.06,15.62,6.92,13.0,20.46,9.83,17.32
"All equipment, structures, IPP, inventories, and land",23.97,12.91,20.7,17.93,9.38,15.33,21.98,11.72,18.91
"All equipment, structures, and inventories",24.01,13.18,20.82,17.47,9.07,14.93,21.96,11.86,18.96
"All equipment, structures, inventories, and land",25.34,14.71,22.18,19.52,11.21,16.99,23.27,13.43,20.32
