"Values by Industry and Asset Aggregate, 2023 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Hospitals,8.15,24.68,NA,-49.06,13.6,29.69,21.0,26.28,21.18
Nursing and Residential Care Facilities,-1.29,20.74,NA,-49.27,6.3,27.32,15.77,21.57,16.42
Social Assistance,2.88,25.88,NA,-25.96,12.16,NA,22.57,27.33,22.97
"Performing Arts, Spectator Sports, Museums, and Related Activities",8.12,26.51,NA,-18.38,3.65,29.93,19.24,27.48,20.12
"Amusement, Gambling, and Recreation Services",6.89,23.89,NA,-22.23,14.62,29.14,21.27,25.63,22.71
Accommodation,3.34,25.68,NA,-25.47,13.22,28.79,24.17,25.35,24.68
Food Services and Drinking Places,5.89,27.37,NA,-15.78,14.76,29.83,21.55,27.25,23.28
Other Services (Except Public Administration),4.28,26.25,NA,-15.61,13.48,30.13,23.21,28.04,23.75
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,9.84,21.02,25.29,-4.93,14.52,30.6,18.84,27.97,20.65
