"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2024 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Prepackaged software,23.54,8.69,20.43,14.57,5.34,12.78,22.97,8.5,19.95
Custom software,18.7,2.61,15.61,12.51,1.11,10.47,18.39,2.54,15.35
Credit-eligible own account software,-24.49,-381.81,-47.2,-16.61,-345.04,-33.39,-22.49,-374.02,-43.74
Other own-account software,33.77,24.53,31.68,36.55,34.87,36.25,34.4,26.35,32.67
Credit-eligible research and development,-10.58,-106.49,-20.43,-11.63,-102.13,-21.03,-10.62,-106.31,-20.46
Other research and development,22.09,7.16,19.82,20.93,11.95,19.5,22.05,7.33,19.81
Theatrical movies,18.18,2.78,16.04,12.89,0.61,11.35,18.02,2.72,15.9
Long-lived television programs,19.27,2.89,16.71,10.7,-6.15,8.04,19.07,2.67,16.51
Books,28.61,15.98,26.55,7.28,-9.0,3.9,24.63,10.11,22.13
Music,30.16,15.57,28.16,7.0,-10.25,3.43,20.83,1.97,17.69
Other entertainment originals,27.82,15.06,25.75,8.28,-8.13,4.94,19.55,3.65,16.68
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Residential equipment,15.57,-1.21,12.42,7.8,-6.99,5.3,9.95,-5.25,7.3
Residential buildings,26.81,12.06,24.05,26.29,14.01,24.22,26.43,13.45,24.18
Inventories,31.46,21.14,29.87,29.81,22.15,28.7,30.94,21.45,29.5
Land,29.16,15.04,26.25,29.87,16.74,27.81,29.56,15.86,27.11
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonresidential equipment,15.54,-1.72,12.05,5.57,-10.06,2.91,13.47,-3.18,10.21
Nonresidential structures,21.33,7.71,18.72,24.16,14.59,22.37,21.94,9.16,19.51
Residential property,26.66,11.88,23.89,26.06,13.75,23.99,26.22,13.21,23.96
R&D and own-account software,-0.57,-61.77,-7.84,-2.53,-73.38,-10.33,-0.67,-62.32,-7.97
Other intellectual property products,20.58,5.22,17.87,10.67,-3.35,8.02,19.91,4.6,17.19
"All equipment, structures, IPP, and inventories",19.63,3.3,16.63,22.79,11.14,20.78,20.54,5.45,17.82
"All equipment, structures, IPP, inventories, and land",21.02,5.24,18.08,25.28,12.97,23.23,22.51,7.7,19.85
"All equipment, structures, and inventories",21.57,6.9,18.79,23.18,11.85,21.23,22.07,8.34,19.54
"All equipment, structures, inventories, and land",22.82,8.36,20.04,25.56,13.47,23.55,23.84,10.07,21.32
