"Total EMTRs by Industry, Legal Form, and Financing Source, 2022 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Miscellaneous Manufacturing,18.03,2.64,15.74,20.83,8.33,20.32,18.56,2.95,16.53
Wholesale Trade,24.93,16.13,24.09,27.38,20.28,26.89,25.6,17.0,24.84
Retail Trade,24.33,15.06,22.58,26.47,18.49,25.82,25.04,15.6,23.56
Air Transportation,13.85,1.67,11.42,9.38,-5.93,4.93,13.64,1.1,11.07
Rail Transportation,8.96,-4.12,7.31,0.58,-17.94,-1.24,8.66,-4.49,7.01
Water Transportation,11.47,-1.05,9.43,4.46,-12.67,2.16,10.31,-2.64,8.26
Truck Transportation,12.93,0.76,10.64,7.38,-8.33,4.96,10.18,-3.2,7.89
Transit and Ground Passenger Transportation,18.08,6.88,15.72,15.28,1.8,11.87,16.94,4.51,14.1
Pipeline Transportation,7.8,-6.63,6.01,-0.12,-20.56,-4.66,6.75,-9.93,4.44
Other Transportation and Support Activities,13.0,0.4,10.27,8.65,-7.15,5.19,12.44,-0.59,9.61
Warehousing and Storage,22.51,12.21,21.35,23.37,12.94,21.73,22.7,12.42,21.44
Publishing Industries (Except Internet),10.23,-18.77,4.31,11.61,-20.87,8.12,10.3,-18.82,4.48
Motion Picture and Sound Recording Industries,13.96,2.32,10.51,23.45,13.26,19.89,14.34,2.86,10.91
Broadcasting (Except Internet) and Telecommunications,10.42,-3.13,8.45,4.14,-13.93,-0.87,10.34,-3.43,8.31
"Data Processing, Hosting, and Other Information Services",9.18,-15.06,7.39,8.21,-19.22,2.41,9.17,-15.23,7.32
Credit Intermediation and Related Activities,17.62,6.29,11.8,15.12,1.77,9.66,17.5,6.14,11.71
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",21.44,10.44,16.82,23.73,12.89,21.61,22.19,10.79,18.07
Insurance Carriers and Related Activities,21.45,10.5,19.45,22.4,11.14,22.02,21.52,10.51,19.61
"Funds, Trusts, and Other Financial Vehicles",26.6,17.22,23.25,28.85,19.75,27.52,27.68,17.78,24.99
Real Estate,25.54,15.64,23.92,26.95,16.84,25.32,26.63,16.56,25.01
Rental and Leasing (Including Nonfinancial Intangibles),10.43,-2.25,7.27,4.4,-12.29,2.46,8.8,-3.54,6.12
"Professional, Scientific, and Technical Services",12.31,-11.04,9.48,14.65,-6.98,13.56,13.25,-10.2,11.04
Management of Companies and Enterprises,23.17,12.55,18.56,25.42,15.14,19.16,23.26,12.76,18.59
Administrative and Support Services,15.45,2.05,13.16,14.36,0.07,12.82,14.92,1.34,13.0
Waste Management and Remediation Services,12.79,0.66,9.8,7.6,-7.89,5.2,11.58,-0.58,8.83
Educational Services,24.15,12.94,22.41,25.97,14.28,25.25,25.11,13.32,23.83
Ambulatory Health Care Services,19.11,7.02,16.46,18.67,5.67,17.27,18.87,6.56,16.87
Hospitals,22.56,11.73,19.1,22.72,10.5,21.97,22.59,11.68,19.58
Nursing and Residential Care Facilities,22.73,11.47,12.98,23.55,11.52,16.6,23.32,11.48,14.58
Social Assistance,23.51,12.99,19.65,24.93,14.22,22.84,24.55,13.64,21.82
"Performing Arts, Spectator Sports, Museums, and Related Activities",23.7,13.65,21.94,16.53,4.0,13.6,20.38,8.32,17.94
"Amusement, Gambling, and Recreation Services",23.2,13.28,19.99,23.76,13.52,19.41,23.32,13.35,19.85
Accommodation,26.03,16.53,22.03,27.85,18.43,24.72,27.09,17.46,23.5
Food Services and Drinking Places,22.35,12.36,19.72,22.33,11.8,20.57,22.34,12.14,20.15
Other Services (Except Public Administration),23.57,12.67,21.67,24.64,12.98,22.82,24.28,12.86,22.43
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,17.63,5.95,15.62,22.46,12.38,21.04,19.18,7.7,17.32
