"Total EMTRs by Industry, Legal Form, and Financing Source, 2024 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
Machinery Manufacturing,15.95,-9.33,12.48,16.67,-2.3,15.73,16.07,-8.91,12.96
Computer and Electronic Product Manufacturing,6.04,-39.24,-0.84,14.63,-10.28,13.78,6.38,-39.01,-0.33
"Electrical Equipment, Appliances, and Components Manufacturing",-117.06,1158.45,-162.01,-57.47,-1007.24,-65.5,-107.73,1264.07,-146.33
Motor Vehicle and Parts Manufacturing,3.52,-49.6,-5.76,5.62,-45.15,2.69,3.6,-49.56,-5.49
Other Transportation Equipment Manufacturing,24.11,6.42,20.26,23.53,10.59,22.74,24.09,6.46,20.34
Furniture and Related Products Manufacturing,25.65,10.48,22.8,25.01,14.18,24.13,25.45,11.03,23.19
Medical Equipment and Supplies,21.91,3.65,19.92,22.25,9.84,21.77,21.95,3.9,20.12
Other Manufacturing,21.31,1.74,15.65,22.22,9.02,21.27,21.65,2.49,17.43
Wholesale Durable Goods,27.01,12.63,25.06,27.31,17.48,26.59,27.11,13.53,25.51
Wholesale Nondurable Goods,27.7,13.69,26.66,28.38,19.03,27.62,27.82,14.73,26.83
Motor Vehicle and Parts Dealers,28.6,14.77,25.84,28.59,18.86,27.51,28.59,16.56,26.82
Food and Beverage Stores,26.6,11.56,23.66,26.6,15.73,25.46,26.6,12.17,24.1
General Merchandise Stores,27.25,12.61,24.71,27.69,17.69,26.41,27.26,12.66,24.74
Other Retail,25.26,9.86,20.94,25.0,13.85,23.94,25.18,10.29,21.73
Air Transportation,19.6,2.43,13.9,15.01,0.28,13.21,19.33,2.39,13.87
Rail Transportation,14.21,-4.88,10.88,6.38,-12.2,4.97,14.08,-4.93,10.79
Water Transportation,18.25,0.74,15.66,11.49,-4.24,9.3,15.87,-0.92,13.44
Truck Transportation,19.65,2.64,17.03,14.12,0.11,11.76,17.13,1.42,14.61
Transit and Ground Passenger Transportation,21.22,4.55,18.67,16.53,2.5,14.19,19.14,3.59,16.67
Pipeline Transportation,14.01,-6.05,11.19,6.62,-12.97,3.9,12.95,-7.03,10.14
Other Transportation and Support Activities,20.11,2.73,16.47,16.01,1.11,13.97,19.22,2.5,15.96
Warehousing and Storage,25.68,10.23,22.99,24.67,12.65,23.05,25.24,11.11,23.01
Publishing Industries (Except Internet),13.57,-20.1,8.96,15.31,-10.48,14.2,13.64,-19.98,9.17
Motion Picture and Sound Recording Industries,20.39,3.62,17.97,20.9,8.62,20.17,20.44,3.78,18.14
Broadcasting (Except Internet) and Telecommunications,16.24,-3.02,13.34,11.23,-5.73,9.98,16.16,-3.04,13.29
"Data Processing, Hosting, and Other Information Services",16.76,-7.27,14.73,14.52,-5.3,12.73,16.72,-7.24,14.7
Depository Credit Intermediation,25.33,9.34,15.21,24.83,12.71,17.39,25.3,9.51,15.33
Other Intermediation,22.3,4.68,19.73,21.81,9.08,19.92,22.29,4.76,19.73
Nondepository Credit Intermediation,18.47,0.58,11.46,12.59,-3.12,9.89,18.04,0.49,11.38
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",24.31,7.25,18.15,24.33,11.75,22.74,24.31,7.53,18.86
Insurance Carriers,23.65,6.28,21.71,21.92,8.56,19.82,23.64,6.3,21.7
Insurance Agencies and Brokers and Related Services,23.29,5.77,20.92,23.16,10.52,17.24,23.27,8.32,19.99
"Funds, Trusts, and Other Financial Vehicles",27.38,11.56,18.19,27.29,14.99,25.48,27.34,11.9,20.39
Real Estate,26.83,11.1,23.85,26.49,13.88,24.05,26.58,13.16,24.0
Rental and Leasing (Including Nonfinancial Intangibles),16.83,-1.05,11.88,11.15,-3.87,8.33,14.95,-1.7,10.8
Legal Services,25.28,9.36,23.34,23.75,11.28,22.93,24.05,10.66,23.01
Computer Systems Design and Related Services,17.84,-5.67,15.28,17.96,0.82,17.14,17.85,-5.24,15.54
"Other Professional, Scientific, and Technical Services",16.92,-7.7,13.22,17.63,0.1,16.38,17.16,-6.25,14.25
Management of Companies and Enterprises,25.76,9.26,18.17,26.31,14.23,21.4,25.8,9.56,18.39
Administrative and Support Services,20.55,1.19,16.1,17.73,2.88,15.55,19.28,1.73,15.87
Waste Management and Remediation Services,19.19,1.77,14.36,12.75,-2.81,9.85,17.92,1.18,13.55
Educational Services,26.66,10.51,24.11,26.6,13.56,24.89,26.63,11.87,24.49
Ambulatory Health Care Services,23.03,5.78,18.38,21.32,7.76,18.83,22.22,6.48,18.58
Hospitals,25.26,9.1,13.79,23.67,10.15,21.13,24.87,9.13,14.55
Nursing and Residential Care Facilities,25.41,8.86,20.51,24.53,10.95,21.43,24.93,9.81,20.99
Social Assistance,26.16,10.48,21.92,26.05,14.1,23.99,26.09,12.43,23.26
"Performing Arts, Spectator Sports, Museums, and Related Activities",27.14,12.21,23.04,18.47,4.89,16.3,21.63,8.78,18.98
"Amusement, Gambling, and Recreation Services",26.38,11.45,21.91,26.0,15.06,22.28,26.29,12.45,22.0
Accommodation,28.29,13.87,22.83,28.9,18.59,24.77,28.52,15.76,23.58
Food Services and Drinking Places,25.74,10.52,18.84,24.68,13.09,20.93,25.17,11.57,19.86
Other Services (Except Public Administration),25.98,9.98,23.05,25.8,13.35,23.05,25.88,12.06,23.05
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,19.98,1.99,16.6,23.07,11.27,21.13,20.93,4.52,17.96
