"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
"Other electrical equipment, n.e.c",15.26,-0.14,11.95,0.05,-23.19,-2.52,13.23,-1.64,10.22
Other nonresidential equipment,9.49,-8.34,5.79,0.0,-24.84,-2.9,6.9,-10.98,3.6
Office and medical buildings,26.99,15.25,24.15,29.66,19.11,28.27,27.95,16.05,25.49
Hospitals and special care facilities,26.62,13.23,22.59,28.15,15.02,26.23,27.36,13.71,24.16
Warehouses,27.05,14.28,25.21,28.82,16.86,27.48,27.63,14.98,25.94
Mobile structures,9.0,-9.06,6.26,0.0,-24.89,-2.52,4.82,-14.65,2.31
Other commercial buildings,26.83,14.94,24.57,29.24,19.43,28.05,27.73,16.11,25.81
Manufacturing buildings,28.74,18.14,27.28,31.35,23.43,30.55,29.26,18.93,27.91
Electric power structures,19.98,8.41,18.05,1.53,-3.23,0.66,19.82,8.3,17.9
Wind and solar power structures,-7.03,-39.72,-11.53,-22.34,-88.4,-29.01,-9.26,-44.92,-13.99
Gas power structures,17.66,6.86,16.04,0.31,-20.21,-3.31,17.1,5.8,15.39
Petroleum pipelines,10.84,-4.46,9.05,0.02,-24.58,-4.39,9.77,-7.53,7.63
Communication structures,9.01,-9.04,6.67,0.0,-24.88,-5.42,8.86,-9.51,6.45
Depreciable petroleum and natural gas structures,9.01,-8.99,7.53,0.0,-24.88,-2.27,8.24,-10.49,6.69
Depreciable mining structures,9.03,-8.92,7.43,0.0,-24.88,-3.08,8.12,-11.14,6.33
Religious buildings,26.18,12.16,23.96,27.47,13.09,25.47,27.04,12.75,24.97
Educational and vocational buildings,26.56,13.08,24.55,28.06,14.76,26.86,27.32,13.69,25.67
Lodging buildings,27.6,15.5,23.45,29.62,19.02,27.01,28.85,17.28,25.55
Amusement and recreation buildings,27.25,14.89,24.6,29.71,18.84,27.52,28.24,16.4,25.76
Track replacement,8.99,-9.07,6.94,0.0,-24.89,-2.18,8.67,-9.5,6.62
Other railroad structures,8.99,-9.07,6.72,0.0,-24.89,-3.21,8.56,-9.86,6.24
Other transportation structures,26.24,13.15,23.92,25.57,12.79,23.16,26.11,13.08,23.78
Farm buildings,8.99,-9.07,6.49,0.0,-24.89,-2.81,1.83,-21.04,-0.88
Water supply and sewer and waste disposal facilities,15.89,0.51,13.06,0.03,-24.17,-2.96,12.67,-2.88,9.98
"Public safety, highways, conservation, and development",10.13,-7.08,7.46,0.0,-24.82,-2.49,6.45,-11.65,3.99
Oil and gas exploration (geological and geophysical)--integrated,19.95,6.07,18.88,NA,NA,NA,19.95,6.07,18.88
Oil and gas exploration (geological and geophysical)--independent,12.84,-3.93,11.57,6.68,-13.92,4.88,12.05,-5.39,10.7
Oil and gas development (intangible drilling costs)--integrated,11.71,-5.33,10.42,NA,NA,NA,11.71,-5.33,10.42
Oil and gas development (intangible drilling costs)--independent,8.99,-9.07,7.63,0.0,-24.89,-2.13,7.87,-11.3,6.4
Other mineral exploration--C corps,19.81,4.45,18.49,NA,NA,NA,19.81,4.45,18.49
Other mineral exploration--pass-throughs,NA,NA,NA,17.9,1.47,15.93,17.9,1.47,15.93
Other mineral development--C corps,11.02,-6.64,9.5,NA,NA,NA,11.02,-6.64,9.5
Other mineral development--pass-throughs,NA,NA,NA,0.0,-24.89,-2.89,0.0,-24.89,-2.89
Prepackaged software,10.17,-7.12,6.93,0.03,-24.08,-2.71,9.41,-7.85,6.27
Custom software,9.26,-8.56,6.2,0.01,-24.6,-2.45,8.74,-9.05,5.75
Credit-eligible own account software,-197.75,253.7,-479.23,-590.33,176.9,14744.69,-224.69,240.8,-575.71
Other own-account software,8.99,-9.06,4.83,0.0,-24.89,-2.89,7.46,-10.36,3.66
Credit-eligible research and development,-43.96,-712.9,-64.81,-102.02,397.93,-132.82,-47.3,-850.43,-68.4
Other research and development,8.99,-9.07,6.61,0.0,-24.89,-1.65,8.51,-9.47,6.19
Theatrical movies,8.99,-9.07,4.11,0.0,-24.89,-7.61,8.95,-9.16,4.05
Long-lived television programs,8.99,-9.07,5.96,0.0,-24.89,-5.83,8.85,-9.44,5.76
Books,26.4,15.83,24.09,7.96,-11.65,3.98,23.19,11.39,20.64
Music,27.77,14.05,24.05,7.37,-13.92,3.0,18.36,3.63,14.79
Other entertainment originals,26.23,15.98,24.69,10.84,-10.88,6.9,20.71,4.9,18.15
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA intangibles,NA,NA,NA,NA,NA,NA,NA,NA,NA
Residential equipment,8.99,-9.07,6.34,0.0,-24.89,-3.4,2.2,-20.76,-0.99
Residential buildings,25.93,12.79,23.97,27.15,14.94,25.39,26.88,14.45,25.07
Inventories,31.23,23.38,30.18,30.66,24.17,30.12,31.02,23.59,30.16
Land,28.07,13.86,25.57,30.28,12.92,28.18,29.33,13.43,27.03
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reserved for non-BEA natural resources,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nonresidential equipment,11.18,-5.35,8.29,0.01,-24.58,-2.45,8.7,-7.86,6.06
Nonresidential structures,20.19,9.47,18.48,24.31,12.71,22.73,21.21,10.16,19.5
Residential property,25.76,12.58,23.8,26.92,14.62,25.14,26.66,14.15,24.84
R&D and own-account software,-29.2,-255.16,-43.44,-77.24,623.24,-99.63,-32.03,-281.26,-46.46
Other intellectual property products,11.14,-5.7,7.87,4.31,-16.72,0.9,10.67,-6.32,7.41
"All equipment, structures, IPP, and inventories",16.07,-0.14,13.55,21.98,9.41,20.39,17.99,2.48,15.72
"All equipment, structures, IPP, inventories, and land",17.73,2.05,15.24,24.54,10.46,22.79,20.28,4.67,18.0
"All equipment, structures, and inventories",19.73,7.03,17.7,22.98,10.8,21.43,20.86,8.12,18.96
"All equipment, structures, inventories, and land",21.0,8.17,18.92,25.26,11.44,23.53,22.68,9.23,20.69
