"Values by Industry and Asset Aggregate, 2024 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Plastics and Rubber Products Manufacturing,10.04,27.85,NA,0.21,17.51,29.25,20.2,26.72,20.51
Nonmetallic Mineral Product Manufacturing,12.74,27.95,NA,1.52,18.26,29.59,19.64,27.13,21.43
Primary Metal Manufacturing,10.94,27.77,NA,0.89,17.79,29.44,20.75,26.84,21.09
Fabricated Metal Product Manufacturing,9.44,28.38,NA,0.65,17.71,29.32,20.31,27.4,20.64
Machinery Manufacturing,0.33,24.0,NA,-22.64,-33.57,29.6,12.96,27.23,13.55
Computer and Electronic Product Manufacturing,-61.41,10.05,NA,-4.51,17.49,29.28,-0.33,26.47,1.17
"Electrical Equipment, Appliances, and Components Manufacturing",1257.09,-24.26,NA,267.44,137.92,29.86,-146.33,27.69,-123.86
Motor Vehicle and Parts Manufacturing,-15.35,20.12,NA,-188.77,-136.51,28.88,-5.49,26.0,-3.42
Other Transportation Equipment Manufacturing,11.22,26.7,NA,-3.54,16.82,28.79,20.34,25.87,20.67
Furniture and Related Products Manufacturing,11.28,27.81,NA,-0.14,17.42,29.15,23.19,26.94,23.47
Medical Equipment and Supplies,12.84,28.33,NA,2.61,18.9,29.97,20.12,27.82,20.73
Other Manufacturing,9.19,27.1,NA,-3.19,15.6,28.38,17.43,26.25,17.84
Wholesale Durable Goods,11.86,27.13,NA,-1.77,18.0,29.56,25.51,27.63,25.7
Wholesale Nondurable Goods,13.59,27.46,NA,0.86,19.21,30.15,26.83,28.17,27.01
Motor Vehicle and Parts Dealers,8.95,27.25,NA,-2.6,15.6,28.92,26.82,26.89,26.83
Food and Beverage Stores,10.29,26.57,NA,-2.71,16.54,29.0,24.1,26.46,24.85
General Merchandise Stores,12.72,26.41,NA,-2.08,20.44,29.32,24.74,26.44,25.48
Other Retail,10.24,23.08,NA,-7.43,16.81,28.44,21.73,26.07,22.87
Air Transportation,7.98,22.96,NA,0.15,14.92,27.63,13.87,24.86,13.99
Rail Transportation,10.85,10.57,NA,5.52,17.52,29.29,10.79,26.49,11.91
Water Transportation,9.96,23.67,NA,6.29,17.18,29.31,13.44,27.42,14.02
Truck Transportation,9.76,26.86,NA,5.98,16.76,28.94,14.61,27.07,17.35
Transit and Ground Passenger Transportation,9.28,23.47,NA,5.46,16.43,29.03,16.67,26.99,17.09
Pipeline Transportation,18.01,9.07,NA,6.47,17.74,29.31,10.14,27.07,10.19
Other Transportation and Support Activities,10.08,18.88,NA,4.27,16.89,28.82,15.96,26.15,17.7
Warehousing and Storage,9.13,25.7,NA,6.47,16.49,28.98,23.01,27.23,24.45
Publishing Industries (Except Internet),14.77,26.96,NA,-13.18,23.67,29.54,9.17,26.85,9.93
Motion Picture and Sound Recording Industries,12.43,27.84,NA,-14.71,16.3,29.63,18.14,27.73,18.61
Broadcasting (Except Internet) and Telecommunications,13.1,13.53,NA,-8.79,16.57,29.56,13.29,26.84,13.7
"Data Processing, Hosting, and Other Information Services",16.07,23.13,NA,-10.02,18.88,30.24,14.7,27.71,18.07
Depository Credit Intermediation,4.57,19.74,NA,-32.85,11.15,24.5,15.33,19.54,15.66
Other Intermediation,14.77,26.73,NA,-3.67,18.8,29.17,19.73,27.0,20.11
Nondepository Credit Intermediation,8.64,22.93,NA,-11.8,13.95,27.27,11.38,25.16,11.81
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",10.49,24.4,NA,-12.35,14.71,27.93,18.86,25.25,19.17
Insurance Carriers,14.38,27.24,NA,-0.61,18.98,29.73,21.7,27.36,21.83
Insurance Agencies and Brokers and Related Services,10.78,26.16,NA,-10.85,18.06,27.32,19.99,25.56,20.34
"Funds, Trusts, and Other Financial Vehicles",7.01,22.49,NA,-26.68,11.99,26.25,20.39,23.07,21.14
Real Estate,8.0,26.29,23.59,3.34,17.28,28.42,24.0,26.96,24.86
Rental and Leasing (Including Nonfinancial Intangibles),8.57,24.58,NA,0.58,15.79,28.15,10.8,26.43,12.19
Legal Services,7.12,28.34,NA,-7.43,13.3,29.3,23.01,28.84,23.21
Computer Systems Design and Related Services,14.15,27.32,NA,-3.77,18.4,29.82,15.54,27.73,16.07
"Other Professional, Scientific, and Technical Services",9.33,27.02,NA,-5.0,17.68,29.36,14.25,28.13,15.16
Management of Companies and Enterprises,7.84,21.83,NA,-28.8,12.92,26.09,18.39,22.25,19.9
Administrative and Support Services,7.26,24.85,NA,-12.43,15.59,28.56,15.87,26.69,17.02
Waste Management and Remediation Services,8.42,15.18,NA,-7.58,15.32,28.12,13.55,25.5,16.81
Educational Services,7.18,25.77,NA,-8.88,17.0,29.04,24.49,27.49,24.5
Ambulatory Health Care Services,6.87,25.46,NA,-6.11,15.52,28.19,18.58,26.38,18.72
Hospitals,2.56,17.64,NA,-51.48,8.7,25.18,14.55,18.95,14.66
Nursing and Residential Care Facilities,5.81,24.55,NA,-6.95,12.77,27.83,20.99,25.7,21.33
Social Assistance,5.77,25.87,NA,-7.19,15.03,28.26,23.26,26.97,23.45
"Performing Arts, Spectator Sports, Museums, and Related Activities",7.25,26.23,NA,-6.22,2.53,28.32,18.98,26.21,19.63
"Amusement, Gambling, and Recreation Services",8.17,24.34,NA,-7.92,14.57,27.37,22.0,24.72,22.63
Accommodation,5.42,25.05,NA,-11.14,13.92,26.83,23.58,23.65,23.61
Food Services and Drinking Places,4.58,24.59,NA,-12.79,12.56,26.55,19.86,23.87,20.85
Other Services (Except Public Administration),6.24,25.59,NA,-4.77,15.32,28.44,23.05,26.56,23.45
Owner-occupied Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Industries,9.44,20.02,23.59,-6.88,16.43,29.33,17.96,26.93,19.98
